Restaurant_name,Restaurant_Categories_name,Restaurant_Categories_Food_Item_name,Item_price
Subway,Sandwiches-6 Grams of Fat or Less,Veggie Delite®,1.0
Subway,Fresh Fit Sandwiches,Turkey Melt,1.0
Subway,Salads-6 Grams of Fat or Less,Black Forest Ham,1.0
Subway,Salads-6 Grams of Fat or Less,Grilled Chicken & Baby Spinach,1.0
Subway,Salads-6 Grams of Fat or Less,Oven Roasted Chicken,1.0
Subway,Salads-6 Grams of Fat or Less,Roast Beef,1.0
Subway,Salads-6 Grams of Fat or Less,Subway Club®,1.0
Subway,Salads-6 Grams of Fat or Less,Sweet Onion Chicken Teriyaki,1.0
Subway,Salads-6 Grams of Fat or Less,Turkey Breast,1.0
Subway,Salads-6 Grams of Fat or Less,Turkey Breast and Ham,1.0
Subway,Salads-6 Grams of Fat or Less,Veggie Delite®,1.0
Subway,Salad Dressings,Fat Free Italian,1.0
Subway,Salad Dressings,Ranch,1.0
Subway,Salad Dressings,Caesar Dressing,1.0
Subway,Salad Dressings,Blue Cheese,1.0
Subway,Salad Dressings,Balsamic Vinaigrette,1.0
Subway,Salad Dressings,Baby Spinach,1.0
Subway,Cookies & Desserts,Apple Slices,1.0
Subway,Cookies & Desserts,Sugar,1.0
Subway,Cookies & Desserts,White Macadamia Nut,1.0
Subway,Breakfast,"Steak, Egg and Cheese",1.0
Subway,Breakfast,Sunrise Subway Melt®,1.0
Subway,Breakfast,Breakfast B.M.T.® Melt (with egg white),1.0
Subway,Breakfast,Egg (White) & Cheese,1.0
Subway,Breakfast,Egg White & Cheese (with Black Forest Ham),1.0
Subway,Breakfast,"Steak, Egg (White) and Cheese",1.0
Subway,Breakfast,Sunrise Subway Melt® (with Egg White),1.0
Subway,Breakfast,"Bacon, Egg (White) and Cheese",1.0
Subway,Breakfast,"Bacon, Egg and Cheese",1.0
Subway,Breads and Toppings,Flatbread,1.0
Subway,Breads and Toppings,9-Grain Wheat Bread,1.0
Subway,Breads and Toppings,Hearty Italian Bread,1.0
Subway,Breads and Toppings,Honey Oat,1.0
Subway,Breads and Toppings,Italian White Bread,1.0
Subway,Breads and Toppings,Italian Herbs & Cheese,1.0
Subway,Breads and Toppings,Monterey Cheddar,1.0
Subway,Breads and Toppings,Parmesan Oregano Bread,1.0
Subway,Breads and Toppings,Roasted Garlic,1.0
Subway,Breads and Toppings,Sourdough Bread,1.0
Subway,Breads and Toppings,Mini Italian White Bread,1.0
Subway,Breads and Toppings,Mini Wheat Bread,1.0
Subway,Condiments & Extras,Avocado,1.0
Subway,Condiments & Extras,Bacon,1.0
Subway,Condiments & Extras,Cheddar Cheese,1.0
Subway,Condiments & Extras,Chipotle Southwest,1.0
Subway,Condiments & Extras,Fat Free Honey Mustard,1.0
Subway,Condiments & Extras,Fat Free Sweet Onion,1.0
Subway,Condiments & Extras,"Mustar, Yello & Deli Brown",1.0
Subway,Condiments & Extras,Olive Oil Blend,1.0
Subway,Condiments & Extras,PepperJack Cheese,1.0
Subway,Condiments & Extras,Pepperoni,1.0
Subway,Condiments & Extras,Processed American Cheese,1.0
Subway,Condiments & Extras,Provolone Cheese,1.0
Subway,Condiments & Extras,Ranch,1.0
Subway,Condiments & Extras,Shredded Monterey Blend,1.0
Subway,Condiments & Extras,Swiss Cheese,1.0
Subway,Condiments & Extras,Vinegar,1.0
Subway,Vegetables,Banana Peppers,1.0
Subway,Vegetables,Cucumbers,1.0
Subway,Vegetables,Green Peppers,1.0
Subway,Vegetables,Jalapeno Peppers,1.0
Subway,Vegetables,Lettuce,1.0
Subway,Vegetables,Olives,1.0
Subway,Vegetables,Onions,1.0
Subway,Vegetables,Pickles,1.0
Subway,Vegetables,Tomato,1.0
The Den,Classics,Bacon Cheeseburger,1.0
The Den,Sides,Onion Rings,1.0
The Den,Sides,Potato Rounds,1.0
The Den,Sides,Sweet Potato Fries,1.0
The Den,Sides,French Fries,1.0
The Den,Salads & More,Pecan Cranberry Chicken Salad,1.0
The Den,Salads & More,Southwestern Chicken Salad,1.0
The Den,Munchies,Mozzarella Cheese Sticks,1.0
The Den,Munchies,Chicken Strips with Dipping Sauce,1.0
The Den,Munchies,Fried Green Beans,1.0
The Den,Bakery Express,Chocolate Chunk Cookie,1.0
The Den,Bakery Express,Oatmeal Cookie,1.0
The Den,Hand Smashed Burgers,Breakfast Scramble Burger,1.0
The Den,Hand Smashed Burgers,Veggie Mash Up Burger,1.0
The Den,"Sandwiches, Burritos and More",Veggie Mash Up Burrito,1.0
The Den,"Sandwiches, Burritos and More",Grilled Chicken Panini,1.0
The Den,Breakfast All Day,Original Grand Slam,1.0
The Den,Breakfast All Day,The Grand Slamwich,1.0
The Den,Breakfast All Day,Chipotle Prime Rib Breakfast Burrito,1.0
Wendy's,Garden Sensations® Salads,Apple Pecan Chicken Salad,1.0
Wendy's,Garden Sensations® Salads,Spicy Chicken Caesar Salad,1.0
Wendy's,Salad Dressing,Classic Ranch,1.0
Wendy's,Salad Dressing,Light Classic Ranch,1.0
Wendy's,Salad Dressing,Italian Vinaigrette,1.0
Wendy's,Salad Dressing,Fat Free French,1.0
Wendy's,Salad Dressing,Thousand Island,1.0
Wendy's,Side Selections,Side Salad-Garden,1.0
Wendy's,Side Selections,Side Salad-Caesar,1.0
Wendy's,Side Selections,Apple Slices,1.0
Wendy's,Side Selections,Baked Potato-Plain,1.0
Wendy's,Side Selections,Baked Potato-Sour Cream & Chive,1.0
Wendy's,Side Selections,Chili,1.0
Wendy's,Side Selections,Chili (Large),1.0
Wendy's,Side Selections,Saltine Crackers,1.0
Wendy's,Side Selections,"Cheddar Cheese, shredded",1.0
Wendy's,Side Selections,Natural Cut Fries,1.0
Wendy's,Side Selections,Natural Cut Fries Small,1.0
Wendy's,Side Selections,Natural Cut Fries Medium,1.0
Wendy's,Side Selections,Natural Cut Fries Large,1.0
Wendy's,Side Selections,Chili Cheese Fries,1.0
Wendy's,Beverages,"Wild Berry Tea, Small Cup",1.0
Wendy's,Beverages,Nestle® Pure Life Bottled Water,1.0
Wendy's,Beverages,"All Natural Lemonade, Small Cup",1.0
Wendy's,Beverages,"Wild Berry Lemonade, Small Cup",1.0
Wendy's,Beverages,Iced Tea (Small),1.0
Wendy's,Beverages,Iced Tea (Medium),1.0
Wendy's,Beverages,Iced Tea (Large),1.0
Wendy's,Beverages,Lemonade,1.0
Wendy's,Crispy Chicken Nuggets,4 Piece Kids Meal Chicken Nuggets,1.0
Wendy's,Crispy Chicken Nuggets,10 Piece Chicken Nuggets,1.0
Wendy's,Crispy Chicken Nuggets,Barbecue Nugget Sauce,1.0
Wendy's,Crispy Chicken Nuggets,Sweet & Sour Nugget Sauce,1.0
Wendy's,Crispy Chicken Nuggets,Honey Mustard Nugget Sauce,1.0
Wendy's,Crispy Chicken Nuggets,Heartland Ranch Dipping Sauce,1.0
Wendy's,Crispy Chicken Nuggets,Spicy Chicken Nuggets,1.0
Wendy's,Sandwiches,Jr. Hamburger,1.0
Wendy's,Sandwiches,Jr. Cheeseburger,1.0
Wendy's,Sandwiches,Jr. Bacon Cheeseburger,1.0
Wendy's,Sandwiches,Jr. Cheeseburger Deluxe,1.0
Wendy's,Sandwiches,Cheesy Cheddarburger,1.0
Wendy's,Sandwiches,Double Stack™,1.0
Wendy's,Sandwiches,1/4 lb.* Single,1.0
Wendy's,Sandwiches,1/2lb.* Double,1.0
Wendy's,Sandwiches,3/4lb.* Triple,1.0
Wendy's,Sandwiches,Baconator® Single,1.0
Wendy's,Sandwiches,Baconator® Double,1.0
Wendy's,Sandwiches,Bacon Deluxe Single,1.0
Wendy's,Sandwiches,Bacon Deluxe Double,1.0
Wendy's,Sandwiches,Ultimate Chicken Grill Sandwich,1.0
Wendy's,Sandwiches,Spicy Chicken Fillet Sandwich,1.0
Wendy's,Sandwiches,Homestyle Chicken Fillet Sandwich,1.0
Wendy's,Sandwiches,Asiago Ranch Club w/ Homestyle Chicken,1.0
Wendy's,Sandwiches,Asiago Ranch Club w/Ultimate Chicken Grill,1.0
Wendy's,Sandwiches,Monterey Ranch Crispy Chicken Sandwich,1.0
Wendy's,Sandwiches,Crispy Chicken Sandwich,1.0
Wendy's,Sandwiches,Crispy Chicken Caesar Wrap,1.0
Wendy's,Sandwiches,Grilled Chicken Go Wrap,1.0
Wendy's,Sandwiches,Homestyle Chicken Go Wrap,1.0
Wendy's,Sandwiches,Spicy Chicken Go Wrap,1.0
Wendy's,Frosty™ Treats,Chocolate Frosty,1.0
Wendy's,Frosty™ Treats,Vanilla Frosty,1.0
Wendy's,Frosty™ Treats,Vanilla Frosty Float,1.0
Wendy's,Frosty™ Treats,Chocolate Frosty Shake,1.0
